name,author,category,rank,read,link
Venture Deals,Brad Feld,business,4,,http://www.amazon.com/gp/product/1118443616?colid=RRGQ6P3CAW8K&coliid=IIUT3DR95H6PY&ref_=wl_it_dp_o_pd_nS_ttl
The Real World of Technology,Ursula Franklin,politics,5,,http://www.amazon.com/gp/product/088784636X?colid=RRGQ6P3CAW8K&coliid=I21EP5STPKNA10&ref_=wl_it_dp_o_pd_S_ttl
Infinite Jest,DFW,fiction,5,,http://www.amazon.com/gp/product/0316066524?colid=RRGQ6P3CAW8K&coliid=I3UX1OO9R8PIN6&ref_=wl_it_dp_o_pd_nS_ttl
Landmarks,Robert MacFarlane,architecture,5,,http://www.amazon.com/gp/product/0241146534?colid=RRGQ6P3CAW8K&coliid=IXDCZLQKM09A4&ref_=wl_it_dp_o_pC_nS_ttl
The Little Prover,Daniel Friedman,programming,3,,http://www.amazon.com/gp/product/0262527952?colid=JMUX9WUONOT7&coliid=ID9PJHWJ0URE3&ref_=wl_it_dp_o_pd_nS_ttl
Land of Lisp,Conrad Barski,programming,3,,http://www.amazon.com/gp/product/1593272812?colid=JMUX9WUONOT7&coliid=I13WZYJ6PDQPV0&ref_=wl_it_dp_o_pC_S_ttl
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,programming,3,,http://www.amazon.com/gp/product/0201633612?colid=JMUX9WUONOT7&coliid=I1P9V5GZLS2618&ref_=wl_it_dp_o_pd_nS_ttl
The Little Schemer,Daniel Friedman,programming,3,,http://www.amazon.com/Little-Schemer-Daniel-P-Friedman/dp/0262560992/ref=sr_1_2?ie=UTF8&qid=1436326232&sr=8-2&keywords=the+reasoned+schemer
The Seasoned Schemer,Daniel Friedman,programming,3,,http://www.amazon.com/Seasoned-Schemer-Daniel-P-Friedman/dp/026256100X/ref=sr_1_3?ie=UTF8&qid=1436326232&sr=8-3&keywords=the+reasoned+schemer
The Reasoned Schemer,Daniel Friedman,programming,3,,http://www.amazon.com/Reasoned-Schemer-Daniel-P-Friedman/dp/0262562146/ref=sr_1_1?ie=UTF8&qid=1436326232&sr=8-1&keywords=the+reasoned+schemer
Jose Mourinho' Real Madrid - A Tactical Analysis: Defending,Tersiz Athanasios,football,2,,http://www.amazon.com/gp/product/095667528X?colid=1MNJT53RW6LHQ&coliid=I3JXOCPG0VLZFI&ref_=wl_it_dp_o_pd_S_ttl
Jose Mourinho' Real Madrid - A Tactical Analysis: Defending,Tersiz Athanasios,football,2,,http://www.amazon.com/gp/product/0956675271?colid=1MNJT53RW6LHQ&coliid=IPMK0KQ5GUC7B&ref_=wl_it_dp_o_pd_S_ttl
Mourinho: Further Anatomy of a Winner,Patrick Barclay,biography,3,,http://www.amazon.com/gp/product/1409136272?colid=1MNJT53RW6LHQ&coliid=I18X5VPZAFBVNK&ref_=wl_it_dp_o_pC_nS_ttl
Jose Mourinho - Made in Portugal,Luis Lourenco,biography,3,,http://www.amazon.com/gp/product/0954684338?colid=1MNJT53RW6LHQ&coliid=I3JPL0MUJNZQ1Q&ref_=wl_it_dp_o_pC_nS_ttl
Arsenal: The Making of a Modern Superclub,Alex Fynn,football,5,,http://www.amazon.com/gp/product/1907637311?colid=1MNJT53RW6LHQ&coliid=IT8Q2DY2UQ5YV&ref_=wl_it_dp_o_pC_S_ttl
Attacking Soccer: A Tactical Analysis,Massimo Lucchesi,football,2,,http://www.amazon.com/gp/product/1890946710?colid=1MNJT53RW6LHQ&coliid=IVOJILOVAIZY5&ref_=wl_it_dp_o_pd_nS_ttl
Pay as You Play: The True Price of Success in the PL,Paul Tomkins,football,3,,http://www.amazon.com/gp/product/0955925339?colid=1MNJT53RW6LHQ&coliid=I3568GGEMP4374&ref_=wl_it_dp_o_pC_nS_ttl
